"Key","DOI","Status","Source","Bytes"
"cagetti_denardi_2006","10.1086/508032","not_downloaded","","0"
"evans_jovanovic_1989","10.1086/261629","not_downloaded","","0"
"hurst_lusardi_2004","10.1086/381478","not_downloaded","","0"
"sedlacek_sterk_2017","10.1257/aer.20141280","not_downloaded","","0"
"petrongolo_pissarides_2001","10.1257/jel.39.2.390","not_downloaded","","0"
"mortensen_pissarides_1994","10.2307/2297896","not_downloaded","","0"
"hurst_pugsley_2011","10.1353/eca.2011.0017","downloaded","https://www.brookings.edu/wp-content/uploads/2016/07/2011b_bpea_hurst.pdf","906853"
"lucas_1978","10.2307/3003596","not_downloaded","","0"
"poschke_2013","10.1016/j.jedc.2012.11.003","not_downloaded","","0"
"donovan_lu_schoellman_2023","10.1093/qje/qjad019","not_downloaded","","0"
