"Key","DOI","Status","PDF","Source"
"buera_2009","10.1007/s10436-009-0121-2","downloaded","projects\01_Necessity_Entrepreneurs\literature\buera_2009.pdf","https://link.springer.com/content/pdf/10.1007/s10436-009-0121-2.pdf"
"cagetti_denardi_2006","10.1086/508032","no_open_pdf_url","",""
"donovan_lu_schoellman_2023","10.1093/qje/qjad019","no_open_pdf_url","",""
"evans_jovanovic_1989","10.1086/261629","no_open_pdf_url","",""
"fairlie_fossen_2019","10.3386/w26377","downloaded","projects\01_Necessity_Entrepreneurs\literature\fairlie_fossen_2019.pdf","https://doi.org/10.3386/w26377"
"hurst_lusardi_2004","10.1086/381478","no_open_pdf_url","",""
"hurst_pugsley_2011","10.1353/eca.2011.0017","no_open_pdf_url","",""
"lucas_1978","10.2307/3003596","no_open_pdf_url","",""
"mortensen_pissarides_1994","10.2307/2297896","no_open_pdf_url","",""
"petrongolo_pissarides_2001","10.1257/jel.39.2.390","no_open_pdf_url","",""
"poschke_2013","10.1016/j.jedc.2012.11.003","no_open_pdf_url","",""
"sedlacek_sterk_2017","10.1257/aer.20141280","no_open_pdf_url","",""
