="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)"
="",="model_2yr_1_1",="model_2yr_1_2",="model_2yr_1_3",="model_2yr_1_4",="model_2yr_1_5",="model_2yr_1_6",="model_2yr_1_7",="model_2yr_1_8",="model_2yr_1_9",="model_2yr_1_10",="model_2yr_2_1",="model_2yr_2_2",="model_2yr_2_3",="model_2yr_2_4",="model_2yr_2_5",="model_2yr_2_6",="model_2yr_2_7",="model_2yr_2_8",="model_2yr_2_9",="model_2yr_2_10",="model_2yr_3_1",="model_2yr_3_2",="model_2yr_3_3",="model_2yr_3_4",="model_2yr_3_5",="model_2yr_3_6",="model_2yr_3_7",="model_2yr_3_8",="model_2yr_3_9",="model_2yr_3_10",="model_2yr_4_1",="model_2yr_4_2",="model_2yr_4_3",="model_2yr_4_4",="model_2yr_4_5",="model_2yr_4_6",="model_2yr_4_7",="model_2yr_4_8",="model_2yr_4_9",="model_2yr_4_10"
="",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b"
="L.s2own",="29.908",="13.578",="9.379*",="7.151",="5.677",="3.047",="-0.345",="-4.289",="-8.122",="-9.800",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="L2.s2own",="",="",="",="",="",="",="",="",="",="",="147.083",="28.858",="13.169",="9.908",="7.143",="5.311",="0.246",="-2.155",="-8.252",="-6.992",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="L3.s2own",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="51.791",="54.285",="14.261",="8.669",="4.141",="2.150",="-0.968",="-4.706",="-9.483",="-10.141",="",="",="",="",="",="",="",="",="",=""
="L4.s2own",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="16.824",="21.510",="87.505",="29.203",="26.451",="7.485",="1.171",="-4.364",="-20.542",="-15.668"
="_cons",="-0.273",="-0.237*",="-0.231*",="-0.226*",="-0.223*",="-0.217*",="-0.209*",="-0.200*",="-0.191",="-0.187",="-1.414",="-0.621**",="-0.575***",="-0.568***",="-0.563***",="-0.559***",="-0.549***",="-0.544***",="-0.532***",="-0.535***",="-1.121",="-0.913",="-0.654***",="-0.647***",="-0.642***",="-0.639***",="-0.636***",="-0.631***",="-0.626***",="-0.625***",="-0.602***",="-0.634***",="-0.590",="-0.557*",="-0.555*",="-0.544***",="-0.541***",="-0.537***",="-0.528**",="-0.531***"
="r2",="0.178",="0.617",="0.686",="0.711",="0.723",="0.735",="0.735",="0.711",="0.664",="0.636",="-14.827",="0.065",="0.530",="0.604",="0.651",="0.674",="0.706",="0.705",="0.654",="0.670",="-0.921",="-2.096",="0.372",="0.521",="0.598",="0.620",="0.639",="0.638",="0.599",="0.591",="0.899",="0.864",="-5.170",="-0.020",="0.099",="0.609",="0.661",="0.657",="0.386",="0.509"
="bic",="482.366",="262.893",="168.593",="137.482",="121.471",="103.826",="104.197",="136.683",="194.006",="224.458",="969.556",="449.412",="267.667",="219.107",="183.133",="163.421",="133.773",="135.058",="180.752",="167.066",="353.510",="488.032",="234.730",="182.629",="148.642",="137.840",="127.751",="128.173",="147.989",="152.153",="114.517",="131.491",="456.959",="273.347",="260.756",="175.505",="161.077",="162.117",="221.515",="198.804"
="N",="289.000",="333.000",="377.000",="377.000",="377.000",="377.000",="377.000",="377.000",="377.000",="377.000",="197.000",="241.000",="285.000",="285.000",="285.000",="285.000",="285.000",="285.000",="285.000",="285.000",="105.000",="149.000",="193.000",="193.000",="193.000",="193.000",="193.000",="193.000",="193.000",="193.000",="58.000",="58.000",="102.000",="102.000",="102.000",="102.000",="102.000",="102.000",="102.000",="102.000"
