t,price,births,fertility_rate,young_share,old_share,theta
0,0,0.0902,0.22,0.27,0.32,0.4475
1,-0.024259375,0.0902,0.218794704684318,0.23003854207763,0.357702851709103,0.487426785226549
2,-0.0498623507418261,0.0902,0.214626847160847,0.184983121976059,0.39475258586667,0.527529858983595
3,-0.0771606123325215,0.0902,0.236272278669209,0.188962812568781,0.429274246353042,0.558002399832421
4,-0.102600765135311,0.0902,0.253679156286545,0.193063365613532,0.451369384319955,0.57727294104593
5,-0.12696939967299,0.0902,0.28212240042382,0.198242165509861,0.482038450759897,0.604098280857428
6,-0.149396318986669,0.0902,0.2656034692207,0.202558053182262,0.457837948930762,0.581670446060347
7,-0.17429922155764,0.0902,0.253405959037284,0.204158524091285,0.439890888390255,0.565278020937537
8,-0.20156332876799,0.0902,0.239052426364597,0.209824589211467,0.412852321574501,0.540093401035331
9,-0.231884218318012,0.0902,0.242174520901338,0.201137655071443,0.426403674774947,0.553592659036736
10,-0.262988672717662,0.0902,0.246300576235702,0.196805129703528,0.436975670250097,0.563757333769558
11,-0.294831461818568,0.0902,0.252236541244384,0.198714494448746,0.443684661696485,0.569509021359524
12,-0.32734481778099,0.0902,0.255035648815791,0.200346725590953,0.445977227868783,0.571327496243262
13,-0.361021213260677,0.0902,0.255163733128241,0.201581145720417,0.444920342190222,0.570191136113137
14,-0.396321974881372,0.0902,0.251054600723799,0.202138964479528,0.438576641846942,0.564398132990319
15,-0.43399696602613,0.14432,0.398011006032723,0.202052373062685,0.435344588798881,0.56150227395959
16,-0.473989092721836,0.14432,0.420135376173611,0.24589816870755,0.410593504727816,0.532649428948902
17,-0.515969331893439,0.14432,0.450958947403286,0.291954064149342,0.388016804970732,0.505422014851258
18,-0.560046467415827,0.14432,0.411990316496819,0.287899430902182,0.361801073645686,0.48243605164579
19,-0.610587774441671,0.14432,0.376948547426459,0.284356153974307,0.332779922062288,0.492928506759913
20,-0.663616706253482,0.14432,0.345683848780029,0.280380013148247,0.302128685162862,0.502018814674339
21,-0.719608220673793,0.14432,0.359172605940552,0.276151366482583,0.322036252469941,0.55664992225056
22,-0.771519988509657,0.14432,0.373390283410096,0.271899409557879,0.341588122356568,0.610964398687229
23,-0.818372235540328,0.14432,0.388492299885368,0.267968329336088,0.36054425626063,0.664694581234154
24,-0.859155729647507,0.14432,0.387278825629748,0.275707615562026,0.351640975558794,0.691600735668611
25,-0.896750644005028,0.0902,0.239836054840869,0.279011625337453,0.344898132268227,0.721116575240786
26,-0.930554862979029,0.0902,0.223458856016367,0.237124108702398,0.359222164575788,0.776371331812849
27,-0.958840903253767,0.0902,0.208572117802639,0.188535846130684,0.378999829537377,0.837539469664036
28,-0.980093745289037,0.0902,0.223374629447951,0.189909259172818,0.406284810749444,0.897969940798578
29,-0.989262244119544,0.0902,0.247491372030572,0.191996154573465,0.443546695829991,0.931192603060972
30,-0.991409502146297,0.0902,0.283747772968995,0.194956662300085,0.487155380179783,0.95
31,-0.989337476582872,0.0902,0.272653846004572,0.199169947198284,0.470007651717787,0.95
32,-0.986874823677465,0.0902,0.257762986878957,0.205209394589976,0.444856733630532,0.930389651078982
33,-0.988000817802192,0.0902,0.240433503604263,0.212077268482567,0.412767028806122,0.900478735653125
34,-0.994868942924675,0.0902,0.240625752318492,0.202206514503815,0.422937514633136,0.93276078599425
35,-0.995870749742705,0.0902,0.243620686818384,0.196964476572514,0.432787819186987,0.95
36,-0.993670487530927,0.0902,0.250285866355853,0.198317311137022,0.441294779975807,0.95
37,-0.99132842519726,0.0902,0.255242432927011,0.199713113223249,0.446897370129283,0.95
38,-0.988839349850103,0.0902,0.256468628508042,0.20101830000426,0.447281764901449,0.95
39,-0.986209692366404,0.0902,0.252281122600069,0.202049395135839,0.440412953729675,0.95
40,-0.983462017161108,0.0902,0.249083876898301,0.202520559922672,0.435352428392715,0.95
41,-0.980644148613496,0.0902,0.247722494683386,0.202036703935653,0.433846181406331,0.95
42,-0.977838993602818,0.0902,0.248965734578192,0.200429977624073,0.437271169673082,0.95
43,-0.975145019733831,0.0902,0.250397284739332,0.200154535061485,0.439617916569132,0.95
44,-0.972446982775751,0.0902,0.251543580930972,0.200687609990417,0.440726415896602,0.95
45,-0.969674170913475,0.0902,0.251734627273374,0.201084803503587,0.440601360307138,0.95
46,-0.966837773110724,0.0902,0.251142184359441,0.201312142335322,0.439528761274469,0.95
47,-0.963952073088831,0.0902,0.250274644761438,0.201356704055248,0.438239228301469,0.95
48,-0.96103263812325,0.0902,0.249951846785945,0.201236979826114,0.437893512067206,0.95
49,-0.958093581928142,0.0902,0.250105048511846,0.201023329483144,0.438328212851965,0.95
50,-0.955143009383194,0.0902,0.250505373649099,0.200859619667338,0.439068264169798,0.95
51,-0.952176521497153,0.0902,0.250760750639584,0.200933279934718,0.439361304564897,0.95
52,-0.94917327508927,0.0902,0.250816999210922,0.201063072197801,0.439312180341813,0.947669501477961
53,-0.946602229210781,0.0902,0.25069329210537,0.201124971397184,0.439072820723685,0.925796792941739
54,-0.948437143375781,0.0902,0.250520434863117,0.201130618126669,0.438818913138975,0.925567429106078
55,-0.950345850788323,0.0902,0.250419330498802,0.201099606427585,0.438704557970053,0.92546916120891
56,-0.952306199769223,0.0902,0.25044532541997,0.201056706566166,0.438784844284326,0.925547853870969
57,-0.954284032081496,0.0902,0.250528277785457,0.201027258002697,0.438933544836319,0.925686101652283
58,-0.956266253115947,0.0902,0.25059822229447,0.201028606385864,0.439032687049773,0.925775127386916
59,-0.958260268283221,0.0902,0.250612744372444,0.201056880055548,0.43902527049163,0.925764211434135
60,-0.960284407967306,0.0902,0.250587417445439,0.20107725354469,0.438968520023971,0.925710079989871
61,-0.96234878381727,0.0902,0.250549152152374,0.201079363580425,0.438911435729308,0.925658387619314
62,-0.964455215423677,0.0902,0.250525569596018,0.201071598579817,0.438885312223934,0.925636041214568
63,-0.966599259933305,0.0902,0.250526896214763,0.201061750205562,0.438897067139636,0.925648097894838
64,-0.968774643929869,0.0902,0.250544995635658,0.201055549268277,0.438929277524396,0.925678017381715
65,-0.970977885461457,0.0902,0.25056149525102,0.201055490628033,0.438953043366247,0.925699415435418
66,-0.973210695349855,0.0902,0.250566799713134,0.201060256605452,0.438955898354953,0.92570127002864
67,-0.975477237530054,0.0902,0.250561408160382,0.201065488056903,0.438942920810819,0.925688805521201
68,-0.977781061188513,0.0902,0.250552833864726,0.201066854909197,0.438929234503629,0.925676282816886
69,-0.980123188310493,0.0902,0.250547157527319,0.201065082314128,0.438922850934866,0.92567080349426
70,-0.982503107707483,0.0902,0.250546929426659,0.201062698718058,0.43892490677202,0.92567301128711
71,-0.984919937719272,0.0902,0.250550539006511,0.201061238284692,0.43893155375773,0.925679212639253
72,-0.987373420288601,0.0902,0.250554459187593,0.201061181217809,0.438937243506031,0.925684341972756
73,-0.989864320186817,0.0902,0.250555985567396,0.201062134649441,0.438938483193562,0.92568531467679
74,-0.992394108243479,0.0902,0.250555028114818,0.201063236925269,0.438936005242542,0.925682919179497
75,-0.994964197597059,0.0902,0.250553059464645,0.201063717914058,0.438932695649082,0.925679868397065
76,-0.997575523722067,0.0902,0.250551685688896,0.201063412054342,0.438931027607904,0.925678413038962
77,-1.00022857714325,0.0902,0.250551517756158,0.201062836964798,0.438931361402882,0.925678799717874
78,-1.00292376087828,0.0902,0.250552257077121,0.201062467753305,0.438932792907085,0.92568014345338
79,-1.00566163522871,0.0902,0.250553142369654,0.20106243557201,0.43893409711197,0.925681322064972
